source_row	year	doi	title	why	status	epmc_pmcid	epmc_is_open_access	epmc_in_epmc	epmc_source_url	crossref_title	crossref_cc_license_url	crossref_license_version	crossref_fulltext_url	crossref_fulltext_content_type	notes	audit_schema
124	2024	10.1016/j.fbio.2024.104307	Computer-assisted engineering of stable human leukemia inhibitory factor	LIF for ESC expansion medium	metadata_only_license_unverified					Computer-assisted engineering of stable human leukemia inhibitory factor			https://api.elsevier.com/content/article/PII:S2212429224007375?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
125	2024	10.1007/s11367-024-02350-6	Life cycle assessment of culture media with alternative compositions for cultured meat production	LCA of culture media alternatives	crossref_cc_vor_candidate					Life cycle assessment of culture media with alternative compositions for cultured meat production	https://creativecommons.org/licenses/by/4.0	vor	https://link.springer.com/content/pdf/10.1007/s11367-024-02350-6.pdf	application/pdf		zotero-oa-audit-v1
126	2024		Exploring the potential use of edible insect hydrolysates in cellular agriculture	edible insect hydrolysates as medium component	missing_doi											zotero-oa-audit-v1
127	2024	10.1016/j.fbio.2024.105418	Exploration of the growth pattern and stemness maintenance of bovine muscle stem cells in vitro culture	Bovine muscle stem cell growth pattern	metadata_only_license_unverified					Exploration of the growth pattern and stemness maintenance of bovine muscle stem cells in vitro culture			https://api.elsevier.com/content/article/PII:S2212429224018492?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
128	2024	10.1016/j.fufo.2024.100396	Development of fetal bovine serum substitute derived from egg for muscle satellite cell culture: A preliminary study	Egg extract as FBS substitute for satellite cell proliferati	crossref_cc_vor_candidate					Development of fetal bovine serum substitute derived from egg for muscle satellite cell culture: A preliminary study	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833524001023?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
129	2024	10.1021/acssuschemeng.4c03345	Development of Serum-Reduced Medium for Mackerel Muscle Cell Line Cultivation	Serum-reduced medium for muscle cells	metadata_only_license_unverified					Development of Serum-Reduced Medium for Mackerel Muscle Cell Line Cultivation			https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.4c03345	application/pdf		zotero-oa-audit-v1
130	2024	10.1016/j.fufo.2024.100443	Assessment of plant- and microbial-derived protein hydrolysates as sustainable for fetal bovine serum in seafood cell culture media	Protein hydrolysates replace FBS in seafood cell media	crossref_cc_vor_candidate					Assessment of plant- and microbial-derived protein hydrolysates as sustainable for fetal bovine serum in seafood cell culture media	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833524001497?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
131	2023	10.1016/j.crfs.2023.100545	Bovine muscle satellite cells in calves and cattle: A comparative study of cellular and genetic characteristics for cultivated meat production	Compares SMSC growth rates; proliferation focus	epmc_jats_candidate	PMC10344704	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10344704/fullTextXML	Bovine muscle satellite cells in calves and cattle: A comparative study of cellular and genetic characteristics for cultivated meat production	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2665927123001132?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
132	2023	10.1021/acsfoodscitech.2c00401	Ultrafiltrated Extracts of Fermented Okara as a Possible Serum Alternative for Cell Culturing: Potential in Cultivated Meat Production	Serum alternative from okara extracts	metadata_only_license_unverified					Ultrafiltrated Extracts of Fermented Okara as a Possible Serum Alternative for Cell Culturing: Potential in Cultivated Meat Production			https://pubs.acs.org/doi/pdf/10.1021/acsfoodscitech.2c00401	application/pdf		zotero-oa-audit-v1
133	2023	10.1016/j.fufo.2023.100226	The effect of serum-free media on the metabolic yields and growth rates of C2C12 cells in the context of cultivated meat production	Serum-free media for C2C12 growth	crossref_cc_vor_candidate					The effect of serum-free media on the metabolic yields and growth rates of C2C12 cells in the context of cultivated meat production	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833523000126?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
134	2023	10.1016/j.jclepro.2023.138153	Environmental life cycle assessment of recombinant growth factor production for cultivated meat applications	LCA of growth factor production	metadata_only_license_unverified					Environmental life cycle assessment of recombinant growth factor production for cultivated meat applications			https://api.elsevier.com/content/article/PII:S0959652623023119?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
135	2023	10.1016/j.ijbiomac.2023.125618	Effects of proanthocyanidins and dialdehyde chitosan on the proliferation and differentiation of bovine myoblast for cultured meat production	Proliferation of bovine myoblasts in vitro	metadata_only_license_unverified		N	N		Effects of proanthocyanidins and dialdehyde chitosan on the proliferation and differentiation of bovine myoblast for cultured meat production			https://api.elsevier.com/content/article/PII:S0141813023025126?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
136	2023	10.1016/j.isci.2022.105822	A simplified and defined serum-free medium for cultivating fat across species	Serum-free medium for fat cell culture	epmc_jats_candidate	PMC9830212	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9830212/fullTextXML	A simplified and defined serum-free medium for cultivating fat across species	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S2589004222020958?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
137	2023	10.1016/j.tifs.2023.06.031	Cell culture medium cycling in cultured meat: Key factors and potential strategies	Focuses on medium cycling and key factors	metadata_only_license_unverified					Cell culture medium cycling in cultured meat: Key factors and potential strategies			https://api.elsevier.com/content/article/PII:S0924224423002042?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
138	2023	10.1016/j.foodres.2023.113660	Improved culture procedure for bovine muscle satellite cells for cultured meat	improved proliferation medium for satellite cells	metadata_only_license_unverified		N	N		Improved culture procedure for bovine muscle satellite cells for cultured meat			https://api.elsevier.com/content/article/PII:S0963996923012085?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
139	2023	10.1016/j.foodres.2023.113017	Efficient expression of a cytokine combination in Saccharomyces cerevisiae for cultured meat production	cytokine expression for cell proliferation	metadata_only_license_unverified		N	N		Efficient expression of a cytokine combination in Saccharomyces cerevisiae for cultured meat production			https://api.elsevier.com/content/article/PII:S0963996923005628?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
140	2023	10.1016/j.tibtech.2023.01.014	Towards biomanufacturing of cultured meat	Mentions serum-free media development	metadata_only_license_unverified		N	N		Towards biomanufacturing of cultured meat			https://api.elsevier.com/content/article/PII:S016777992300032X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
141	2023	10.1016/j.foodres.2023.112606	N-acetylcysteine promotes the proliferation of porcine adipose-derived stem cells during in vitro long-term expansion for cultured meat production	NAC promotes ADSC proliferation for cultured meat	metadata_only_license_unverified		N	N		N-acetylcysteine promotes the proliferation of porcine adipose-derived stem cells during in vitro long-term expansion for cultured meat production			https://api.elsevier.com/content/article/PII:S0963996923001515?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
142	2023	10.1039/d3fo00445g	Production of mature myotubes in vitro improves the texture and protein quality of cultured pork	Serum-free medium for satellite cells	metadata_only_license_unverified		N	N		"Production of mature myotubes
                    <i>in vitro</i>
                    improves the texture and protein quality of cultured pork"			http://pubs.rsc.org/en/content/articlepdf/2023/FO/D3FO00445G	unspecified		zotero-oa-audit-v1
143	2023	10.1021/acssuschemeng.3c02972	Cost-Effective Culture Medium for Cell-Based Future Foods	Cost-effective medium for myoblasts	metadata_only_license_unverified					Cost-Effective Culture Medium for Cell-Based Future Foods			https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.3c02972	application/pdf		zotero-oa-audit-v1
144	2023	10.1016/j.xpro.2023.102351	Protein expression and purification of bioactive growth factors for use in cell culture and cellular agriculture	Growth factor production for serum-free media	epmc_jats_candidate	PMC10277608	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10277608/fullTextXML	Protein expression and purification of bioactive growth factors for use in cell culture and cellular agriculture	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666166723003180?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
145	2023	10.1038/s43016-023-00692-2	Author Correction: Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat	Serum-free cell line for cultured meat	metadata_only_license_unverified		N	N		Author Correction: Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat			https://www.nature.com/articles/s43016-023-00692-2.pdf	application/pdf		zotero-oa-audit-v1
146	2023	10.1038/s41598-023-40800-7	Investigating proliferation and differentiation capacities of Hanwoo steer myosatellite cells at different passages for developing cell-cultured meat	Proliferation of myosatellite cells, passage effects	epmc_jats_candidate	PMC10511522	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10511522/fullTextXML	Investigating proliferation and differentiation capacities of Hanwoo steer myosatellite cells at different passages for developing cell-cultured meat	https://creativecommons.org/licenses/by/4.0	vor	https://www.nature.com/articles/s41598-023-40800-7.pdf	application/pdf		zotero-oa-audit-v1
147	2023	10.1016/j.jmb.2023.168191	Stable Mammalian Serum Albumins Designed for Bacterial Expression	Serum albumin for cultivated meat	metadata_only_license_unverified		N	N		Stable Mammalian Serum Albumins Designed for Bacterial Expression			https://api.elsevier.com/content/article/PII:S0022283623002905?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
148	2023	10.3389/fbioe.2023.1202165	Non-ammoniagenic proliferation and differentiation media for cultivated adipose tissue	Serum-free media for fat cells	epmc_jats_candidate	PMC10405928	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10405928/fullTextXML	Non-ammoniagenic proliferation and differentiation media for cultivated adipose tissue	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fbioe.2023.1202165/full	unspecified		zotero-oa-audit-v1
149	2023	10.1007/s10616-023-00581-3	Development of a cell line from skeletal trunk muscle of the fish Labeo rohita	Fish muscle cell line with FBS and bFGF	metadata_only_license_unverified	PMC10299978	N	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10299978/fullTextXML	Development of a cell line from skeletal trunk muscle of the fish Labeo rohita			https://link.springer.com/content/pdf/10.1007/s10616-023-00581-3.pdf	application/pdf		zotero-oa-audit-v1
150	2023	10.1016/j.biomaterials.2023.122092	A Beefy-R culture medium: Replacing albumin with rapeseed protein isolates	Replaces albumin with rapeseed protein isolate	metadata_only_license_unverified	PMC10111969	N	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10111969/fullTextXML	A Beefy-R culture medium: Replacing albumin with rapeseed protein isolates			https://api.elsevier.com/content/article/PII:S014296122300100X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
151	2023	10.3390/ani13111887	Potential Application of Muscle Precursor Cells from Male Specific-Pathogen-Free (SPF) Chicken Embryos in In Vitro Agriculture	MPCs isolation for cultured meat medium	epmc_jats_candidate	PMC10251866	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10251866/fullTextXML	Potential Application of Muscle Precursor Cells from Male Specific-Pathogen-Free (SPF) Chicken Embryos in In Vitro Agriculture	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2076-2615/13/11/1887/pdf	unspecified		zotero-oa-audit-v1
152	2023	10.1016/j.bbrc.2023.10.018	Muscle cell proliferation using water-soluble extract from nitrogen-fixing cyanobacteria Anabaena sp. PCC 7120 for sustainable cultured meat production	Serum-free growth factor extract	metadata_only_license_unverified		N	N		Muscle cell proliferation using water-soluble extract from nitrogen-fixing cyanobacteria Anabaena sp. PCC 7120 for sustainable cultured meat production			https://api.elsevier.com/content/article/PII:S0006291X23011646?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
153	2023	10.1016/j.foodres.2023.113617	Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat	FBS substitutes for cultured meat medium	metadata_only_license_unverified		N	N		Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat			https://api.elsevier.com/content/article/PII:S0963996923011651?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
154	2023	10.5187/jast.2022.e114	The roles of growth factors and hormones in the regulation of muscle satellite cells for cultured meat production	Growth factors for satellite cell proliferation	epmc_jats_candidate	PMC10119461	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10119461/fullTextXML	"The roles of growth factors and hormones in the regulation of muscle
                    satellite cells for cultured meat production"	http://creativecommons.org/licenses/by-nc/4.0	tdm	http://www.ejast.org/download/download_pdf?doi=10.5187/jast.2022.e114	application/pdf		zotero-oa-audit-v1
155	2023	10.1016/j.foodres.2022.112438	Auxenochlorella pyrenoidosa extract supplementation replacing fetal bovine serum for Carassius auratus muscle cell culture under low-serum conditions	Algae extract replacing FBS for muscle cell proliferation	metadata_only_license_unverified		N	N		Auxenochlorella pyrenoidosa extract supplementation replacing fetal bovine serum for Carassius auratus muscle cell culture under low-serum conditions			https://api.elsevier.com/content/article/PII:S096399692201496X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
156	2023	10.5187/jast.2023.e10	Culturing characteristics of Hanwoo myosatellite cells and C2C12 cells incubated at 37°C and 39°C for cultured meat	Myosatellite cell proliferation temperature	epmc_jats_candidate	PMC10271921	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10271921/fullTextXML	Culturing characteristics of Hanwoo myosatellite cells and C2C12 cells incubated at 37°C and 39°C for cultured meat	http://creativecommons.org/licenses/by-nc/4.0	tdm	http://www.ejast.org/download/download_pdf?doi=10.5187/jast.2023.e10	application/pdf		zotero-oa-audit-v1
157	2023	10.3390/foods12142682	The Effect of Long-Term Passage on Porcine SMCs' Function and the Improvement of TGF-β1 on Porcine SMCs' Secretory Function in Late Passage	TGF-β1 improves SMC proliferation for cultured meat	epmc_jats_candidate	PMC10378609	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10378609/fullTextXML	The Effect of Long-Term Passage on Porcine SMCs’ Function and the Improvement of TGF-β1 on Porcine SMCs’ Secretory Function in Late Passage	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/12/14/2682/pdf	unspecified		zotero-oa-audit-v1
158	2023	10.3389/fcell.2023.1193634	The ensured proliferative capacity of myoblast in serum-reduced conditions with Methyl-β-cyclodextrin	Serum-reduced medium with MβCD for myoblasts	epmc_jats_candidate	PMC10213241	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10213241/fullTextXML	The ensured proliferative capacity of myoblast in serum-reduced conditions with Methyl-β-cyclodextrin	https://creativecommons.org/licenses/by/4.0/	vor	https://www.frontiersin.org/articles/10.3389/fcell.2023.1193634/full	unspecified		zotero-oa-audit-v1
159	2023	10.1186/s12896-023-00774-w	In vitro culture of bovine fibroblasts using select serum-free media supplemented with Chlorella vulgaris extract	Serum-free medium with algae extract for fibroblasts	epmc_jats_candidate	PMC9909908	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9909908/fullTextXML	In vitro culture of bovine fibroblasts using select serum-free media supplemented with Chlorella vulgaris extract	https://creativecommons.org/licenses/by/4.0	vor	https://link.springer.com/content/pdf/10.1186/s12896-023-00774-w.pdf	application/pdf		zotero-oa-audit-v1
160	2023	10.5713/ab.23.0108	The fibronectin concentration that optimally maintains porcine satellite cells	Fibronectin concentration for satellite cell maintenance	epmc_jats_candidate	PMC10623030	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10623030/fullTextXML	The fibronectin concentration that optimally maintains porcine satellite cells	http://creativecommons.org/licenses/by-nc/4.0/	tdm	http://animbiosci.org/upload/pdf/ab-23-0108.pdf	application/pdf		zotero-oa-audit-v1
161	2023		A novel culture medium for cultured meat production using microalgae-derived nutrients and mammalian cell-secreted growth factors: Development of serum-free and grain-derived nutrient-free medium	Serum-free medium with microalgae nutrients	missing_doi											zotero-oa-audit-v1
162	2023	10.1016/j.fbio.2023.102923	Evaluation of fermented soybean meal and edible insect hydrolysates as potential serum replacement in pig muscle stem cell culture	Serum replacement for pig muscle stem cells	metadata_only_license_unverified					Evaluation of fermented soybean meal and edible insect hydrolysates as potential serum replacement in pig muscle stem cell culture			https://api.elsevier.com/content/article/PII:S2212429223005746?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
163	2023	10.1016/j.jciso.2023.100099	Adsorption of L-lactate from cell culture media by layered double hydroxide and evaluation of its cytotoxicity to cell lines	Lactate removal for myoblast culture medium	crossref_cc_vor_candidate					Adsorption of l-lactate from cell culture media by layered double hydroxide and evaluation of its cytotoxicity to cell lines	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666934X23000260?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
164	2022	10.1016/j.biomaterials.2022.121650	Production of cultured meat from pig muscle stem cells	pig muscle stem cell expansion medium	crossref_cc_vor_candidate		N	N		Production of cultured meat from pig muscle stem cells	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S0142961222002903?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
165	2022	10.1016/j.cofs.2022.100885	Towards resource-efficient and cost-efficient cultured meat	Reviews cost-effective medium components for cell propagatio	crossref_cc_vor_candidate					Towards resource-efficient and cost-efficient cultured meat	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S221479932200087X?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
166	2022	10.1002/btpr.3239	Proliferation and differentiation of primary bovine myoblasts using Chlorella vulgaris extract for sustainable production of cultured meat	Chlorella extract for myoblast proliferation	metadata_only_license_unverified		N	N		"Proliferation and differentiation of primary bovine myoblasts using
                    <i>Chlorella vulgaris</i>
                    extract for sustainable production of cultured meat"			https://onlinelibrary.wiley.com/doi/pdf/10.1002/btpr.3239	application/pdf		zotero-oa-audit-v1
167	2022	10.1038/s43016-021-00437-z	Recipes for cultured meat	Serum-free media for myocytes	metadata_only_license_unverified		N	N		Recipes for cultured meat			https://www.nature.com/articles/s43016-021-00437-z.pdf	application/pdf		zotero-oa-audit-v1
168	2022	10.3390/ijms23031180	Amino Acids and IGF1 Regulation of Fish Muscle Growth Revealed by Transcriptome and microRNAome Integrative Analyses of Pacu (Piaractus mesopotamicus) Myotubes	AA and IGF1 for fish myotubes	epmc_jats_candidate	PMC8835699	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8835699/fullTextXML	Amino Acids and IGF1 Regulation of Fish Muscle Growth Revealed by Transcriptome and microRNAome Integrative Analyses of Pacu (Piaractus mesopotamicus) Myotubes	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/1422-0067/23/3/1180/pdf	unspecified		zotero-oa-audit-v1
169	2022	10.1016/j.isci.2022.105054	Recombinant production of growth factors for application in cell culture	Recombinant growth factors for cell culture	epmc_jats_candidate	PMC9489951	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9489951/fullTextXML	Recombinant production of growth factors for application in cell culture	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2589004222013268?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
170	2022	10.1016/j.foodres.2022.111459	Effects of selected flavonoids oncellproliferation and differentiation of porcine muscle stem cells for cultured meat production	Flavonoids for muscle stem cell proliferation	metadata_only_license_unverified		N	N		Effects of selected flavonoids on cell proliferation and differentiation of porcine muscle stem cells for cultured meat production			https://api.elsevier.com/content/article/PII:S0963996922005178?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
171	2022	10.1039/d1fo04340d	Vitamin C enhances the ex vivo proliferation of porcine muscle stem cells for cultured meat production	Vitamin C enhances porcine muscle stem cell proliferation	metadata_only_license_unverified		N	N		"Vitamin C enhances the
                    <i>ex vivo</i>
                    proliferation of porcine muscle stem cells for cultured meat production"			http://pubs.rsc.org/en/content/articlepdf/2022/FO/D1FO04340D	unspecified		zotero-oa-audit-v1
172	2022	10.5851/kosfa.2022.e61	Optimal Pre-Plating Method of Chicken Satellite Cells for Cultured Meat Production	Chicken satellite cell pre-plating method	epmc_jats_candidate	PMC9647181	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9647181/fullTextXML	Optimal Pre-Plating Method of Chicken Satellite Cells for Cultured Meat Production	http://creativecommons.org/licenses/by-nc/3.0	unspecified	http://www.kosfaj.org/download/download_pdf?doi=10.5851/kosfa.2022.e61	application/pdf		zotero-oa-audit-v1
173	2022	10.1038/s41598-022-04804-z	Serum-free cultures of C2C12 cells show different muscle phenotypes which can be estimated by metabolic profiling	Serum-free C2C12 culture medium	epmc_jats_candidate	PMC8764040	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8764040/fullTextXML	Serum-free cultures of C2C12 cells show different muscle phenotypes which can be estimated by metabolic profiling	https://creativecommons.org/licenses/by/4.0	vor	https://www.nature.com/articles/s41598-022-04804-z.pdf	application/pdf		zotero-oa-audit-v1
174	2022	10.3390/ani12233328	Inhibition of GSK3β Promotes Proliferation and Suppresses Apoptosis of Porcine Muscle Satellite Cells	GSK3β inhibitor for satellite cell proliferation	epmc_jats_candidate	PMC9738253	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9738253/fullTextXML	Inhibition of GSK3β Promotes Proliferation and Suppresses Apoptosis of Porcine Muscle Satellite Cells	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2076-2615/12/23/3328/pdf	unspecified		zotero-oa-audit-v1
175	2022	10.1016/j.reth.2022.04.006	Laminin-221-derived recombinant fragment facilitates isolation of cultured skeletal myoblasts	Isolation method for myoblast culture	epmc_jats_candidate	PMC9111930	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9111930/fullTextXML	Laminin-221-derived recombinant fragment facilitates isolation of cultured skeletal myoblasts	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S2352320422000347?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
176	2022	10.1016/j.fbio.2022.101571	An effective cytokine combination for ex vivo expansion of porcine muscle stem cells	Cytokine combination for porcine muscle stem cell expansion	metadata_only_license_unverified					An effective cytokine combination for ex vivo expansion of porcine muscle stem cells			https://api.elsevier.com/content/article/PII:S2212429222000293?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
177	2021	10.1016/j.biomaterials.2021.121155	Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat	gelatin microspheres as medium component	metadata_only_license_unverified		N	N		Gelatin MAGIC powder as nutrient-delivering 3D spacer for growing cell sheets into cost-effective cultured meat			https://api.elsevier.com/content/article/PII:S0142961221005123?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
178	2021	10.1111/1541-4337.12661	Muscle stem cell isolation and in vitro culture for meat production: A methodological review	Focuses on muscle stem cell culture for meat	metadata_only_license_unverified		N	N		"Muscle stem cell isolation and
                    <i>in vitro</i>
                    culture for meat production: A methodological review"			https://onlinelibrary.wiley.com/doi/pdf/10.1111/1541-4337.12661	application/pdf		zotero-oa-audit-v1
179	2021	10.3390/cells10113069	YAP Promotes Cell Proliferation and Stemness Maintenance of Porcine Muscle Stem Cells under High-Density Condition	YAP, porcine muscle stem cell proliferation	epmc_jats_candidate	PMC8621012	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8621012/fullTextXML	YAP Promotes Cell Proliferation and Stemness Maintenance of Porcine Muscle Stem Cells under High-Density Condition	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2073-4409/10/11/3069/pdf	unspecified		zotero-oa-audit-v1
180	2021	10.1089/ten.tea.2020.0255	Impact of Human Epidermal Growth Factor on Tissue-Engineered Skeletal Muscle Structure and Function	hEGF enhances satellite cell proliferation	metadata_only_license_unverified	PMC8558067	N	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8558067/fullTextXML	Impact of Human Epidermal Growth Factor on Tissue-Engineered Skeletal Muscle Structure and Function			https://www.liebertpub.com/doi/full-xml/10.1089/ten.tea.2020.0255	application/xml		zotero-oa-audit-v1
181	2021	10.3390/ijms22063042	Identification of Novel FNIN2 and FNIN3 Fibronectin-Derived Peptides That Promote Cell Adhesion, Proliferation and Differentiation in Primary Cells and Stem Cells	FN peptides promote cell proliferation	epmc_jats_candidate	PMC8002551	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8002551/fullTextXML	Identification of Novel FNIN2 and FNIN3 Fibronectin-Derived Peptides That Promote Cell Adhesion, Proliferation and Differentiation in Primary Cells and Stem Cells	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/1422-0067/22/6/3042/pdf	unspecified		zotero-oa-audit-v1
182	2020	10.1021/acsabm.0c00230	Human Platelet Lysate Supports Mouse Skeletal Myoblast Growth but Suppresses Cell Fusion on Nanogrooves	hPL supports myoblast growth	metadata_only_license_unverified		N	N		Human Platelet Lysate Supports Mouse Skeletal Myoblast Growth but Suppresses Cell Fusion on Nanogrooves			https://pubs.acs.org/doi/pdf/10.1021/acsabm.0c00230	unspecified		zotero-oa-audit-v1
183	2019	10.1016/j.bbamcr.2018.10.012	Epidermal Growth Factor - based adhesion substrates elicit myoblast scattering, proliferation, differentiation and promote satellite cell myogenic activation	EGF substrate for myoblast proliferation and activation	metadata_only_license_unverified		N	N		Epidermal Growth Factor – based adhesion substrates elicit myoblast scattering, proliferation, differentiation and promote satellite cell myogenic activation			https://api.elsevier.com/content/article/PII:S0167488918304683?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
184	2019	10.1007/978-1-4939-8897-6_11	Interaction Between Skeletal Muscle Cells and Extracellular Matrix Proteins Using a Serum Free Culture System	Serum-free culture for myoblasts	metadata_only_license_unverified		N	N		Interaction Between Skeletal Muscle Cells and Extracellular Matrix Proteins Using a Serum Free Culture System			http://link.springer.com/content/pdf/10.1007/978-1-4939-8897-6_11	unspecified		zotero-oa-audit-v1
185	2018	10.1186/s12896-018-0482-6	Myogenic differentiation of primary myoblasts and mesenchymal stromal cells under serum-free conditions on PCL-collagen I-nanoscaffolds	Serum-free myogenic differentiation on scaffolds	epmc_jats_candidate	PMC6260685	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6260685/fullTextXML	Myogenic differentiation of primary myoblasts and mesenchymal stromal cells under serum-free conditions on PCL-collagen I-nanoscaffolds	http://creativecommons.org/licenses/by/4.0/	tdm	http://link.springer.com/content/pdf/10.1186/s12896-018-0482-6.pdf	application/pdf		zotero-oa-audit-v1
186	2017	10.1186/s13395-017-0138-6	HGF potentiates extracellular matrix-driven migration of human myoblasts: involvement of matrix metalloproteinases and MAPK/ERK pathway	HGF and ECM migration, medium factor	epmc_jats_candidate	PMC5635537	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5635537/fullTextXML	HGF potentiates extracellular matrix-driven migration of human myoblasts: involvement of matrix metalloproteinases and MAPK/ERK pathway			http://link.springer.com/content/pdf/10.1186/s13395-017-0138-6.pdf	application/pdf		zotero-oa-audit-v1
187	2017	10.1007/s12195-017-0508-5	Data-Modeling Identifies Conflicting Signaling Axes Governing Myoblast Proliferation and Differentiation Responses to Diverse Ligand Stimuli	Myoblast proliferation signaling, medium relevant	metadata_only_license_unverified	PMC6816730	N	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6816730/fullTextXML	Data-Modeling Identifies Conflicting Signaling Axes Governing Myoblast Proliferation and Differentiation Responses to Diverse Ligand Stimuli			http://link.springer.com/article/10.1007/s12195-017-0508-5/fulltext.html	text/html		zotero-oa-audit-v1
