relevance	has_pdf	year	doi	title	why	model	run_id
no	no	2025	10.1016/j.tibtech.2025.02.022	Scalable tissue biofabrication via perfusable hollow fiber arrays for cultured meat applications	bioreactor scaffold, not medium	deepseek-chat	20260715T011514
no	yes	2021	10.3390/proteomes9010009	The Dystrophin Node as Integrator of Cytoskeletal Organization, Lateral Force Transmission, Fiber Stability and Cellular Signaling in Skeletal Muscle	dystrophin signaling, not medium	deepseek-chat	20260715T011514
no	no	2020	10.1109/mems46641.2020.9056454	Assembly of Modular Tissue Structure of Micro-Fibers Using Magnetic Force and Capillary Force	fiber assembly method, not medium	deepseek-chat	20260715T011514
no	yes	2022	10.1002/adfm.202112238	Processing of Continuous Non-Crosslinked Collagen Fibers for Microtissue Formation at the Muscle-Tendon Interface	collagen fiber processing, not medium	deepseek-chat	20260715T011514
no	yes	2022	10.1016/j.matdes.2022.111289	Preparation of functional fiber hybrid enhanced high strength and multifunctional protein based adhesive	protein adhesive, not cell culture	deepseek-chat	20260715T011514
no	no	2022	10.1093/biolre/ioac102	Collagen and elastic fiber remodeling in the pregnant mouse myometrium†	mouse myometrium remodeling, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1016/j.knee.2022.10.010	Immunohistochemical analysis of the quadriceps femoris muscle before and after total knee arthroplasty	knee arthroplasty muscle analysis	deepseek-chat	20260715T011514
no	no	2018	10.1002/bit.26801	Hierarchically aligned fibrous hydrogel films through microfluidic self-assembly of graphene and polysaccharides	hydrogel film, not medium	deepseek-chat	20260715T011514
no	no	2020	10.1111/wrr.12807	Fibroblast-specific Stat1 deletion enhances the myofibroblast phenotype during tissue repair	Stat1 deletion, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.bbadis.2025.168012	Defective collagen VI-NG2 axis impairs pericyte balance between proliferation and quiescence in COLVI-related myopathies	collagen VI myopathy, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1089/ten.tec.2024.0038	Impact of Cyclic Strain on Elastin Synthesis in a 3D Human Myometrial Culture Model	myometrial, not muscle expansion medium	deepseek-chat	20260715T011514
no	no	2023	10.1016/j.foodres.2023.113253	Quantitative proteomic analysis of cattle-yak and yak longissimus thoracis provides insights into the differential mechanisms of meat quality	meat quality proteomics, not medium	deepseek-chat	20260715T011514
no	no	2013	10.1016/j.surfcoat.2012.03.033	Electrospun PLLA fibers coated with chitosan/heparin for scaffold of vascular tissue engineering	scaffold coating, not medium	deepseek-chat	20260715T011514
no	no	2017	10.1002/mame.201600404	Design and Fabrication of Fibrous Nanomaterials Using Pull Spinning	nanofiber manufacturing, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1089/ten.tea.2020.0221	JNK2 Gene Silencing for Elastic Matrix Regenerative Repair	gene silencing, not medium	deepseek-chat	20260715T011514
no	no	2011	10.1117/12.875950	Toward in-vivo photoacoustic imaging of human ovarian tissue for cancer detection	cancer imaging, not medium	deepseek-chat	20260715T011514
no	yes	2021	10.3390/ma14216288	Electrospinning Processing Techniques for the Manufacturing of Composite Dielectric Elastomer Fibers	dielectric elastomer fibers, not medium	deepseek-chat	20260715T011514
no	no	2004		Refractoriness of cardiac muscle as affected by intercalated disks: a model study implications for fibrillation and defibrillation	cardiac model, not medium	deepseek-chat	20260715T011514
no	no	2005	10.1016/j.surg.2005.06.006	Decreased expression of fibulin-5 correlates with reduced elastin in thoracic aortic dissection	elastin in dissection, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1016/j.actbio.2025.10.041	Development of a three-dimensional experimental vascular model with smooth muscle cell-derived cross-linked elastic fiber assembly	3D vascular model, not medium	deepseek-chat	20260715T011514
no	no	2017	10.1016/j.actbio.2017.07.012	Bioreactor-induced mesenchymal progenitor cell differentiation and elastic fiber assembly in engineered vascular tissues	Vascular tissue, differentiation, not muscle expansion	deepseek-chat	20260715T011514
no	yes	2021	10.1038/s41598-021-01304-4	A deep learning approach to identify and segment alpha-smooth muscle actin stress fiber positive cells	Cardiac fibrosis, image analysis, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1021/acsbiomaterials.0c01791	Combining TGF-β1 and Mechanical Anchoring to Enhance Collagen Fiber Formation and Alignment in Tissue-Engineered Menisci	Menisci tissue engineering, not muscle cells	deepseek-chat	20260715T011514
no	no	2011	10.1021/bm101214f	Self-Assembly of Elastin-Based Peptides into the ECM: the Importance of Integrins and the Elastin Binding Protein in Elastic Fiber Assembly	Elastin assembly in SMCs, not expansion medium	deepseek-chat	20260715T011514
no	no	2023	10.1089/ten.tea.2022.0169	Sodium Nitroprusside Stimulation of Elastic Matrix Regeneration by Aneurysmal Smooth Muscle Cells	Aneurysm SMCs, elastic matrix, not expansion	deepseek-chat	20260715T011514
no	yes	2015	10.1088/1748-6041/10/3/034102	In vitro elastogenesis: instructing human vascular smooth muscle cells to generate an elastic fiber-containing extracellular matrix scaffold	VSMC elastogenesis, not expansion medium	deepseek-chat	20260715T011514
no	no	2026	10.1002/adfm.202500204	Injectable Peptide Liquid Crystal Hydrogel with Hierarchical Microstructure Directs Myoblast Alignment and Potentiates Muscle Functional Recovery	Hydrogel for regeneration, not culture medium	deepseek-chat	20260715T011514
no	no	2019	10.1007/s00018-019-03026-3	Evidence for skeletal muscle fiber type-specific expressions of mechanosensors	Mechanosensor expression, not medium	deepseek-chat	20260715T011514
no	yes	2022	10.1021/acsami.2c05988	Long-Term Controlled Growth Factor Release Using Layer-by-Layer Assembly for the Development of In Vivo Tissue-Engineered Blood Vessels	Blood vessel, not muscle expansion	deepseek-chat	20260715T011514
no	yes	2020	10.3390/cells9122646	Glycosaminoglycan Modification of Decorin Depends on MMP14 Activity and Regulates Collagen Assembly	Decorin modification, not medium	deepseek-chat	20260715T011514
no	no	2026	10.1088/2631-7990/ae0bc7	Advanced biofabrication techniques of muscle cell-powered biohybrid robots	Biohybrid robot fabrication review	deepseek-chat	20260715T011514
no	no	2026	10.1002/advs.202521633	The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice	Myonuclear response to hypertrophy	deepseek-chat	20260715T011514
no	yes	2010	10.1021/nl101355x	Nanofiber Assembly by Rotary Jet-Spinning	Nanofiber assembly method	deepseek-chat	20260715T011514
no	yes	2010	10.1152/physrev.00027.2009	Muscle KATP Channels: Recent Insights to Energy Sensing and Myoprotection	KATP channels, not medium	deepseek-chat	20260715T011514
no	no	2019	10.1007/s00421-018-04061-x	The skeletal muscle fiber: a mechanically sensitive cell	Mechanotransduction, not medium	deepseek-chat	20260715T011514
no	yes	2009	10.1002/bit.22080	Fabrication of Skeletal Muscle Constructs by Topographic Activation of Cell Alignment	Topographic alignment, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1021/acsbiomaterials.1c00591	Cation-Induced Assembly of Conductive MXene Fibers for Wearable Heater, Wireless Communication, and Stem Cell Differentiation	Wearable electronics, not culture medium	deepseek-chat	20260715T011514
no	yes	2009	10.1007/s12079-009-0065-3	Fibulin-5, an integrin-binding matricellular protein: its function in development and disease	ECM protein function, not medium	deepseek-chat	20260715T011514
no	no	2005	10.1007/s10974-005-9016-7	How to build a myofibril	Myofibril assembly models, not medium	deepseek-chat	20260715T011514
no	no	2017		The Role of Physical Microenvironmental Cues on Myogenesis: Implications for Tissue Engineering of Skeletal Muscle	Physical cues for myogenesis, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.actbio.2024.08.035	Strain-dependent dynamic re-alignment of collagen fibers in skeletal muscle extracellular matrix	Collagen alignment in ECM, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1039/d1bm00147g	Aligned and electrically conductive 3D collagen scaffolds for skeletal muscle tissue engineering	Scaffold alignment and conductivity	deepseek-chat	20260715T011514
no	yes	2022	10.1088/1758-5090/ac3aca	Controllable assembly of skeletal muscle-like bundles through 3D bioprinting	3D bioprinting assembly, not medium	deepseek-chat	20260715T011514
no	yes	2018	10.1111/jcmm.13401	Supramolecular aggregation of aquaporin-4 is different in muscle and brain: correlation with tissue susceptibility in neuromyelitis optica	Aquaporin aggregation, unrelated	deepseek-chat	20260715T011514
no	no	2022	10.1002/adfm.202110676	Engineering Complex Anisotropic Scaffolds beyond Simply Uniaxial Alignment for Tissue Engineering	Anisotropic scaffolds, not medium	deepseek-chat	20260715T011514
no	no	2017	10.1016/j.actbio.2017.01.083	Enhanced elastin synthesis and maturation in human vascular smooth muscle tissue derived from induced-pluripotent stem cells	Vascular smooth muscle, not skeletal	deepseek-chat	20260715T011514
no	yes	2017	10.1038/srep40444	Rules of tissue packing involving different cell types: human muscle organization	Tissue packing, not culture medium	deepseek-chat	20260715T011514
no	no	2018	10.1038/nchem.2887	Artificial muscle-like function from hierarchical supramolecular assembly of photoresponsive molecular motors	Artificial molecular motor, not cell culture	deepseek-chat	20260715T011514
no	yes	2022	10.1016/j.mtbio.2022.100412	Scaffolds in the microbial resistant era: Fabrication, materials, properties and tissue engineering applications	Antimicrobial scaffolds review	deepseek-chat	20260715T011514
no	no	2016	10.1002/adhm.201501066	Pigmented Silk Nanofibrous Composite for Skeletal Muscle Tissue Engineering	Scaffold for myogenic differentiation	deepseek-chat	20260715T011514
no	yes	2023	10.1016/j.apmt.2023.101737	Tissue engineering of skeletal muscle, tendons and nerves: A review of manufacturing strategies to meet structural and functional requirements	Manufacturing strategies review	deepseek-chat	20260715T011514
no	yes	2020	10.3389/fbioe.2020.00767	Biomimetic Hierarchically Arranged Nanofibrous Structures Resembling the Architecture and the Passive Mechanical Properties of Skeletal Muscles: A Step Forward Toward Artificial Muscle	Biomimetic nanofibrous actuator	deepseek-chat	20260715T011514
no	no	2021	10.1016/j.jmbbm.2021.104670	Skeletal muscle: Modeling the mechanical behavior by taking the hierarchical microstructure into account	Mechanical modeling of muscle	deepseek-chat	20260715T011514
no	no	2019	10.1088/1758-5090/ab1e7c	Engineering complex muscle-tissue interfaces through microfabrication	Microfabrication of interfaces	deepseek-chat	20260715T011514
no	no	2018	10.1002/term.2701	Fibre-based scaffolding techniques for tendon tissue engineering	Tendon scaffold techniques	deepseek-chat	20260715T011514
no	no	2022	10.1002/adbi.202101165	Toward Hierarchical Assembly of Aligned Cell Sheets into a Conical Cardiac Ventricle Using Microfabricated Elastomers	Cardiac ventricle tissue engineering	deepseek-chat	20260715T011514
no	no	2024	10.1002/advs.202309740	Matrix Architecture and Mechanics Regulate Myofibril Organization, Costamere Assembly, and Contractility in Engineered Myocardial Microtissues	Cardiac tissue mechanics and matrix	deepseek-chat	20260715T011514
no	yes	2022	10.3390/ijms23105306	The Mechanisms of Thin Filament Assembly and Length Regulation in Muscles	Thin filament assembly mechanism	deepseek-chat	20260715T011514
no	yes	2022	10.7554/elife.76649	Tension-driven multi-scale self-organisation in human iPSC-derived muscle fibers	iPSC muscle fiber self-organization	deepseek-chat	20260715T011514
no	yes	2021	10.7554/elife.60145	Global and local tension measurements in biomimetic skeletal muscle tissues reveals early mechanical homeostasis	Muscle tissue tension measurement	deepseek-chat	20260715T011514
no	yes	2020	10.3389/fbioe.2020.00203	Harnessing Fiber Diameter-Dependent Effects of Myoblasts Toward Biomimetic Scaffold-Based Skeletal Muscle Regeneration	Scaffold-based muscle regeneration	deepseek-chat	20260715T011514
no	no	2023	10.1111/sms.14246	Larger interface area at the human myotendinous junction in type 1 compared with type 2 muscle fibers	Myotendinous junction structure	deepseek-chat	20260715T011514
no	no	2003	10.1089/107632703322495637	Tissue engineering of skeletal muscle using polymer fiber arrays	Polymer fiber scaffold for muscle	deepseek-chat	20260715T011514
no	yes	2000	10.1016/s0002-9440(10)64961-9	Impaired elastogenesis in Hurler disease - Dermatan sulfate accumulation linked to deficiency in elastin-binding protein and elastic fiber assembly	Hurler disease elastogenesis	deepseek-chat	20260715T011514
no	yes	2019	10.1073/pnas.1818506116	Self-assembly of biological networks via adaptive patterning revealed by avian intradermal muscle network formation	Feather muscle network formation	deepseek-chat	20260715T011514
no	yes	2021	10.1186/s13578-021-00579-4	Extracellular matrix: an important regulator of cell functions and skeletal muscle development	ECM review, not medium	deepseek-chat	20260715T011514
no	no	2018	10.1002/term.2349	Phenotype-based selection of bone marrow mesenchymal stem cell-derived smooth muscle cells for elastic matrix regenerative repair in abdominal aortic aneurysms	AAA repair, not culture medium	deepseek-chat	20260715T011514
no	yes	2016	10.1242/jeb.128017	Muscle structural assembly and functional consequences	Muscle structure, not medium	deepseek-chat	20260715T011514
no	no	2007	10.1586/17434440.4.5.709	From scrawny to brawny: the quest for neomusculogenesis; smart surfaces and scaffolds for muscle tissue engineering	Scaffold/surface engineering	deepseek-chat	20260715T011514
no	yes	2018	10.1038/s41377-018-0080-3	Optical prediction of single muscle fiber force production using a combined biomechatronics and second harmonic generation imaging approach	Force prediction, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1016/j.fmre.2021.11.033	Pharmacological regulation of tissue fibrosis by targeting the mechanical contraction of myofibroblasts	Fibrosis, not muscle medium	deepseek-chat	20260715T011514
no	no	2019	10.1242/jeb.200832	Mixing it up: the biological significance of hybrid skeletal muscle fibers	Fiber types, not medium	deepseek-chat	20260715T011514
no	yes	2010	10.1016/j.biocel.2010.03.009	Unraveling the mechanism of elastic fiber assembly: The roles of short fibulins	Elastic fiber assembly, not culture medium	deepseek-chat	20260715T011514
no	no	2013	10.1016/j.biomaterials.2013.06.033	The use of anisotropic cell sheets to control orientation during the self-organization of 3D muscle tissue	Cell sheet orientation, not medium	deepseek-chat	20260715T011514
no	no	2019	10.1021/acs.chemmater.9b01276	In Situ Magnetic Alignment and Cross-Linking of Injectable Microparticles into Centimeter-Scale Fibers for Efficient Myoblast Alignment and in Vivo Fiber Formation	Magnetic alignment, not medium	deepseek-chat	20260715T011514
no	yes	2021	10.1371/journal.pone.0249601	Modelling extracellular matrix and cellular contributions to whole muscle mechanics	Muscle mechanics modeling, not medium	deepseek-chat	20260715T011514
no	yes	2018	10.1088/1741-2552/aa8c88	Carbon fiber on polyimide ultra-microelectrodes	Neural electrode, not muscle culture	deepseek-chat	20260715T011514
no	no	2022	10.1152/ajpcell.00200.2022	A glitch in the matrix: the pivotal role for extracellular matrix remodeling during muscle hypertrophy	ECM remodeling, not medium	deepseek-chat	20260715T011514
no	no	2018	10.1039/c8tb00535d	Fabrication of high performance silk fibroin fibers via stable jet electrospinning for potential use in anisotropic tissue regeneration	Silk fiber fabrication, not medium	deepseek-chat	20260715T011514
no	no	2016	10.1016/j.ijsolstr.2015.11.009	Biological tissue mechanics with fibres modelled as one-dimensional Cosserat continua. Applications to cardiac tissue	Cardiac tissue mechanics, not medium	deepseek-chat	20260715T011514
no	yes	2017	10.1002/adfm.201606273	Self-Assembled Hydrogel Fiber Bundles from Oppositely Charged Polyelectrolytes Mimic Micro-/Nanoscale Hierarchy of Collagen	Hydrogel fiber bundles, not medium	deepseek-chat	20260715T011514
no	yes	2016	10.1021/acsnano.5b07756	Flow-Induced Crystallization of Collagen: A Potentially Critical Mechanism in Early Tissue Formation	Collagen crystallization, not medium	deepseek-chat	20260715T011514
no	yes	2019	10.3390/ani9080574	The Blood and Muscle Expression Pattern of the Equine TCAP Gene during the Race Track Training of Arabian Horses	Equine TCAP expression, not medium	deepseek-chat	20260715T011514
no	yes	2016	10.1242/jeb.123935	Locomotion as an emergent property of muscle contractile dynamics	Muscle contractile dynamics, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1038/s43016-023-00744-7	Buddhist perspectives on cultivated meat	Buddhist perspectives, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1007/10_2025_293	Environmental Sustainability of Cultivated Meat	Environmental sustainability, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1038/s43016-022-00602-y	Cultivated meat as a tool for fighting antimicrobial resistance	Antimicrobial resistance, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1007/10_2025_291	Edible Scaffolds for Cultivated Meat Production	Edible scaffolds, not medium focus	deepseek-chat	20260715T011514
no	no	2025	10.1111/1541-4337.70343	Starch-Based Scaffolds for Cultivated Meat Production: Challenges and Perspectives	Starch scaffolds, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1038/s41587-023-01849-x	A call for an 'Asilomar' for cultivated meat and seafood	Asilomar call, not medium	deepseek-chat	20260715T011514
no	no	2026	10.1016/j.tibtech.2025.12.018	Cultivated ingredients: a strategic pivot for cultivated meat?	Cultivated ingredients, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1021/acs.jafc.3c00542	Formation of a Meat-Like Flavor by Submerged Cultivated Laetiporus montanus	Fungal flavor, not muscle cells	deepseek-chat	20260715T011514
no	no	2023	10.1097/js9.0000000000000199	Cultivated meat could aid in reducing global antimicrobial resistance burden - producing meat without antibiotics as a safer food system for the future	Antimicrobial resistance, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1177/15598276211008134	Primary Pandemic Prevention	Pandemic prevention, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1038/s41538-023-00177-3	Author Correction: Nomenclature of cell-cultivated meat & seafood products	Nomenclature, not medium	deepseek-chat	20260715T011514
no	no	2024	10.3389/fnut.2024.1374847	Corrigendum: Random cellulose acetate nanofibers: a breakthrough for cultivated meat production	Scaffold correction, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1016/j.meatsci.2022.109040	Demand changes meat as changing meat reshapes demand: The great meat revolution	Demand/consumer, not medium	deepseek-chat	20260715T011514
no	no	2025	10.31083/fbl36266	3D Bioprinting of Cultivated Meat Followed by the Development of a Fine-Tuned YOLO Model for the Detection and Counting of Lipoblasts, Fibroblasts, and Myogenic Cells	3D bioprinting and detection model	deepseek-chat	20260715T011514
no	no	2015	10.1007/s00253-015-6671-5	A novel approach for in vitro meat production	General review, not medium-focused	deepseek-chat	20260715T011514
no	no	2021	10.5187/jast.2021.e85	In-vitro meat: a promising solution for sustainability of meat sector	General review, not medium-focused	deepseek-chat	20260715T011514
no	no	2015	10.1007/s13197-015-1972-3	In vitro meat production system: why and how?	General review, not medium-focused	deepseek-chat	20260715T011514
no	no	2020	10.1007/s13197-019-04155-0	Conceptual evolution and scientific approaches about synthetic meat	Conceptual evolution, not medium	deepseek-chat	20260715T011514
no	no	2016	10.1016/j.meatsci.2016.04.036	Is in vitro meat the solution for the future?	General discussion, not medium	deepseek-chat	20260715T011514
no	no	2017	10.1080/10408398.2014.924899	In vitro meat: A future animal-free harvest	General review, not medium	deepseek-chat	20260715T011514
no	no	2023	10.3389/fnut.2023.1151801	Nutrient recovery in cultured meat systems: Impacts on cost and sustainability metrics	Nutrient recovery and cost analysis	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41598-025-88900-w	In vitro protein expression profile of cultivated muscle cells from Labeo rohita	Proteomics of fish cell line, not medium	deepseek-chat	20260715T011514
no	no	2013	10.1016/j.meatsci.2013.04.036	Novel aspects of health promoting compounds in meat	Health compounds in meat, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1002/mnfr.70319	Could Cultured Meat Be a Sustainable and Safe Source of Protein?	Sustainability and safety review, not medium	deepseek-chat	20260715T011514
no	no	2023	10.1371/journal.pone.0284132	Vegan versus meat-based cat food: Guardian-reported health outcomes in 1,369 cats, after controlling for feline demographic factors	Cat food health outcomes, not medium	deepseek-chat	20260715T011514
no	no	2024	10.3389/fnut.2024.1366174	Dietary proteins: from evolution to engineering	Dietary proteins evolution, not medium	deepseek-chat	20260715T011514
no	no	2020	10.12688/wellcomeopenres.15685.2	Cellular agriculture in the UK: a review	UK cellular agriculture review, not medium	deepseek-chat	20260715T011514
no	no	2026	10.1038/s41538-026-00724-8	Author Correction: Cultured chicken meat developed by structuring cellular spheroids on an edible bacterial nanocellulose bioscaffold	Correction on scaffold, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1038/s44222-024-00172-7	Making cultured meat tasty	Differentiation for taste, not expansion medium	deepseek-chat	20260715T011514
no	no	2025	10.1038/s44222-024-00258-2	Microbial cell factories for cost-effective and high-quality cultured meat	Microbial production, not cell culture medium	deepseek-chat	20260715T011514
no	no	2025	10.1038/s43016-025-01188-x	Changes in meat consumption can improve groundwater quality	Groundwater quality, not cell culture	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41467-025-57015-1	Scalable production of muscle and adipose cell-laden microtissues using edible macroporous microcarriers for 3D printing of cultured fish fillets	Microcarriers for 3D printing, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1038/s42003-025-08574-y	Optimizing fatty acids composition in meat-like tissue derived from myogenic conversion of pig fibroblasts	Myogenic conversion, not medium focus	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41538-025-00557-x	Establishment of spontaneously immortalized Japanese eel muscle-derived preadipocyte cell lines for cultured seafood production	Cell line establishment, not medium	deepseek-chat	20260715T011514
no	no			The secret to producing artificial meat on a massive scale	General production scale-up	deepseek-chat	20260715T011514
no	no	2025	10.1038/s44264-025-00058-0	Cultivating control? How cultured meat threatens Food Sovereignty	Food sovereignty policy	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41538-025-00461-4	A global comprehensive review on cultured seafood	Comprehensive review, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1038/d41587-021-00022-6	No bones, no scales, no eyeballs: appetite grows for cell-based seafood	Consumer/economics of cell-based seafood	deepseek-chat	20260715T011514
no	no	2024	10.1038/s41538-024-00292-9	Advancements in plant based meat analogs enhancing sensory and nutritional attributes	Plant-based meat analogs	deepseek-chat	20260715T011514
no	no	2024	10.1038/s41538-024-00291-w	Current challenges of alternative proteins as future foods	Alternative proteins review	deepseek-chat	20260715T011514
no	no	2021	10.1038/s41598-021-90903-2	Seaweed cellulose scaffolds derived from green macroalgae for tissue engineering	Scaffold for tissue engineering	deepseek-chat	20260715T011514
no	no	2026	10.1038/s41538-026-00721-x	Discretionary foods have notable environmental and expenditure relevance across meat and plant protein preferences	Dietary preferences, not culture medium	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41598-025-30088-0	Development of functional meat products based on the food safety system	Functional meat product development	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41538-025-00484-x	The future of the future foods: understandings from the past towards SDG-2	Review of future foods broadly	deepseek-chat	20260715T011514
no	no	2024	10.1038/s41467-024-54939-y	Metamaterial-based injection molding for the cost-effective production of whole cuts	Injection molding for meat analogs	deepseek-chat	20260715T011514
no	no	2023	10.1038/s41598-023-43384-4	Antimicrobial and antioxidant potential of the silver nanoparticles synthesized using aqueous extracts of coconut meat (Cocos nucifera L)	Silver nanoparticles from coconut meat	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41538-025-00417-8	Food culture and cell-culture: technical, ethical and social frontiers	Ethical/social frontiers, not medium	deepseek-chat	20260715T011514
no	no	2021	10.1038/s41587-021-00855-1	Club-goers take first bites of lab-made chicken	News about lab-made chicken tasting	deepseek-chat	20260715T011514
no	no	2024	10.1038/s43247-023-01139-z	Swiss agriculture can become more sustainable and self-sufficient by shifting from forage to grain legume production	Swiss agriculture sustainability shift	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41431-025-01935-5	Abstracts from the 58th European Society of Human Genetics (ESHG) Conference: Hybrid Posters	Human genetics conference abstracts	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41538-025-00386-y	Microalgae-enriched (bio)inks for 3D bioprinting of cultured seafood	3D bioprinting scaffold, not medium	deepseek-chat	20260715T011514
no	no	2008	10.1038/ijo.2008.47	Track 1 – Track 5	No abstract provided	deepseek-chat	20260715T011514
no	no	2023	10.1038/s41538-023-00229-8	Spatially localised expression of the glutamate decarboxylase gadB in Escherichia coli O157:H7 microcolonies in hydrogel matrices	Bacterial expression in hydrogels	deepseek-chat	20260715T011514
no	no	2025	10.1038/s44222-025-00385-4	Sustainability and energy consumption of farm-free cellular agriculture	Sustainability and energy analysis	deepseek-chat	20260715T011514
no	no	2025	10.1038/s42003-025-07976-2	The proverbial elephant in the petri-dish: futures for cellular agriculture science in an uncertain world	Policy and futures discussion	deepseek-chat	20260715T011514
no	no	2025	10.1038/s41467-025-60098-5	Managing nitrogen to achieve sustainable food-energy-water nexus in China	Nitrogen management in agriculture	deepseek-chat	20260715T011514
no	no	2015	10.1017/s1368980015000622	Is the future of meat palatable? Perceptions of in vitro meat as evidenced by online news comments	Public perception of in vitro meat	deepseek-chat	20260715T011514
no	no	2023	10.1016/j.meatsci.2023.109191	Can in vitro meat be a viable alternative for Turkish consumers?	Consumer attitudes survey	deepseek-chat	20260715T011514
no	no	2019	10.1042/etls20190108	On visions and promises - ethical aspects of in vitro meat	Ethical discussion of in vitro meat	deepseek-chat	20260715T011514
no	no	2025	10.3390/foods15010034	Axiology of Cultured Meat and Consumer Perception: An Analysis Based on the Phenomenology of Perception	Consumer perception, not medium	deepseek-chat	20260715T011514
no	no	2014	10.1111/japp.12056	The Ethics of Producing In Vitro Meat	Ethics, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1016/j.biomaterials.2021.121273	Perspectives on scaling production of adipose tissue for food applications	Adipose tissue scaling, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1080/10408398.2020.1856036	Stem cells-derived in vitro meat: from petri dish to dinner plate	General review, not medium	deepseek-chat	20260715T011514
no	no	2022	10.1186/s13002-022-00513-z	Traditional uses and practices of edible cultivated Allium species (fam. Amaryllidaceae) in Sweden	Traditional onion cultivation, unrelated	deepseek-chat	20260715T011514
no	no	2025	10.3390/nu17243860	Nutrient Equivalence of Plant-Based and Cultured Meat: Gaps, Bioavailability, and Health Perspectives	Nutritional comparison, not medium	deepseek-chat	20260715T011514
no	no	2025	10.1111/1541-4337.70262	Cultured Meat Reformulation: Health Potential and Sustainable Food Challenges-Narrative Review	Health and sustainability, not medium	deepseek-chat	20260715T011514
no	no	2014	10.1089/fpd.2013.1695	Sublethal amounts of Origanum vulgare L. essential oil and carvacrol cause injury and changes in membrane fatty acid of Salmonella Typhimurium cultivated in a meat broth	Food safety, not cell culture medium	deepseek-chat	20260715T011514
no	no	2025	10.1007/10_2025_290	From Muscle Fibers to Functional Foods: Bridging Conventional and Cultivated Approaches	Quality attributes, not medium	deepseek-chat	20260715T011514
no	no	2017	10.1371/journal.pone.0171904	Attitudes to in vitro meat: A survey of potential consumers in the United States	Consumer attitudes survey	deepseek-chat	20260715T011514
no	no	2021	10.1371/journal.pone.0253292	Vegan versus meat-based pet foods: Owner-reported palatability behaviours and implications for canine and feline welfare	Pet food palatability study	deepseek-chat	20260715T011514
no	no	2012	10.1139/w2012-070	Rosmarinus officinalis L. essential oil and the related compound 1,8-cineole do not induce direct or cross-protection in Listeria monocytogenes ATCC 7644 cultivated in meat broth	Bacterial food safety study	deepseek-chat	20260715T011514
no	no	2024	10.1038/s43016-024-01033-7	Towards a competitive cost for industrial-scale cultivated chicken production	Cost analysis, not medium	deepseek-chat	20260715T011514
no	no	2023	10.3390/foods12234243	Insects as Valuable Sources of Protein and Peptides: Production, Functional Properties, and Challenges	Insect protein review	deepseek-chat	20260715T011514
no	no	2013	10.3390/ani3030647	Emerging Profiles for Cultured Meat; Ethics through and as Design	Ethics discussion	deepseek-chat	20260715T011514
no	no	2024	10.1016/j.ijbiomac.2024.131438	Glutenin-chitosan 3D porous scaffolds with tunable stiffness and systematized microstructure for cultured meat model	Scaffold material, not medium	deepseek-chat	20260715T011514
no	no	2024	10.1002/adma.202310006	Progress and Opportunities for Machine Learning in Materials and Processes of Additive Manufacturing	Additive manufacturing, not cell culture medium	deepseek-chat	20260715T011514
no	no	2023	10.7554/elife.82120	Aggregating in vitro-grown adipocytes to produce macroscale cell-cultured fat tissue with tunable lipid compositions for food applications	Adipocyte aggregation, not medium expansion	deepseek-chat	20260715T011514
no	no	2025	10.3390/ani15192867	Consumer Acceptance of Cultured Meat in Romania Highlighting Sustainable Perspectives for Both Human and Pet Consumption	Consumer acceptance, not medium components	deepseek-chat	20260715T011514
